"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 A 134","sin","12.3","15.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 A 86","sin",,15,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 E/A 14","sin","13.2","18.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 299","sin",14,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 41","sin","11.4","15.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 20","sin",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E11 B 51","sin","12.5","16.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G7 B 153","dext","12.6",16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 304","dext","10.5",14,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 82","sin","13.7",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 326","sin",11,"15.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","HS","sin","12.2",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B2 141","sin",11,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 270","dext",11,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 547","dext",12,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E10 B 82","sin","12.2",18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 167","dext",11,15,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","1842-16","sin","13.2",18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","1842-15","sin",13,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 584","dext",11,15,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 A 83","dext",13,18,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI R. B8-9","dext",13,18,"MMSH, LAMPEA, Aix-en-Provence"
